input,target,prediction,exact_match,bleu4
He works long hours as a financial consultant,Il travaille de longues heures comme consultant financier,Il conduit une berline de luxe noire pour aller,False,0.028517539529041507
She works full-time at the hospital,Elle travaille à plein temps à l'hôpital,Elle travaille à plein temps à l'hôpital,True,1.0
I see a rainbow in the sky,Je vois un arc-en-ciel dans le ciel,Je vois un avion dans le parc pendant,False,0.17286039232097053
She wears a red dress,Elle porte une robe rouge,Elle porte un élégant collier de perles pour le gala,False,0.0446323613785333
She practices her dance routine in front of the mirror,Elle pratique sa routine de danse devant le miroir,Elle travaille à des vestes en cuir modernes,False,0.024512401940754224
The science experiment requires a special microscope,L'expérience scientifique nécessite un microscope spécial,Le thé de la boulangerie est exceptionnellement est exceptionnellement,False,0.0
Please pass me the salt,"S'il vous plaît, passez-moi le sel",Veuillez vérifier vos informations de saisie avant de soumettre,False,0.0
The birds gather dry twigs for their nests,Les oiseaux ramassent des brindilles sèches pour leurs nids,Les oiseaux chantent dans un nid en bois,False,0.05183741882011645
He runs five miles every morning before breakfast,Il court cinq milles tous les matins avant le petit déjeuner,Il a perdu ses clés de la science-fiction,False,0.019090277826420414
You have a beautiful garden full of colorful roses,Vous avez un magnifique jardin plein de roses colorées,Vous avez une collection de disques vinyles vraiment,False,0.057367534172156044
We need to buy a dozen fresh eggs,Nous devons acheter une douzaine d'œufs frais,Nous devons acheter des articles de de de la,False,0.11868405219520975
We swim during summer,Nous nageons pendant l'été,Nous avons visité le lever de soleil le coucher,False,0.023980296761827107
We visited the national park,Nous avons visité le parc national,Nous avons visité le lever de soleil le coucher,False,0.2984745896009823
They regularly play tennis on the weekends,Ils jouent régulièrement au tennis le week-end,Ils ont construit une grande avec un immense,False,0.02777619034011792
They live in a beautiful apartment facing the river,Ils vivent dans un bel appartement face à la rivière,Ils ont construit une grande avec un immense de,False,0.025518615589394285
The map of the subway network is confusing,La carte du réseau de métro est déroutante,La bibliothèque locale est un excellent espace d'étude,False,0.03303164318013808
The computer is fast,L'ordinateur est rapide,Le thé est est trop amer sans,False,0.033031643180138064
I want to eat an apple,Je veux manger une pomme,Je veux boire une pomme verte fraîche,False,0.09878765474230743
We visited the historic monument,Nous avons visité le monument historique,Nous avons visité le lever de soleil le coucher,False,0.2984745896009823
The keys are missing from my coat pocket,Les clés manquent dans la poche de mon manteau,Les feuilles rouges couvrent le sol en octobre,False,0.024512401940754224
Please close the gate,"S'il vous plaît, fermez la barrière",Veuillez vérifier vos informations de saisie avant de soumettre,False,0.0
We are planning a dream trip to Rome next year,Nous planifions un voyage de rêve à Rome l'année prochaine,Nous allons rendre visite à nos proches le mois,False,0.025518615589394285
We crossed the desert by camel,Nous avons traversé le désert à dos de chameau,Nous avons traversé le col de soleil le parc,False,0.3155984539112945
The museum is closed today,Le musée est fermé aujourd'hui,Le thé de est trop sucré pour être bu,False,0.028517539529041507
The small children share their colorful toys,Les petits enfants partagent leurs jouets colorés,Les membres de l'équipe partagent leurs idées lors des réunions,False,0.04939382737115371
The new software update fixed several critical bugs,La nouvelle mise à jour logicielle a corrigé plusieurs bugs critiques,Le thé noir est trop sucré pour être bu,False,0.0
