input,target,prediction,exact_match,bleu4
Le train du matin est généralement bondé de banlieusards,The morning train is usually packed with commuters,The local hotel is too sweet to drink,False,0.03303164318013808
Le match de football du championnat était incroyablement intense,The championship football match was incredibly intense,The fresh advised me to brush twice,False,0.033031643180138064
Elle travaille comme directrice dans une banque locale,She works as a manager at a local bank,She works part-time a high-tech chemical laboratory,False,0.05809334108283256
J'ai fait tomber mes clés quelque part dans le bac à sable,I dropped my keys somewhere in the sandbox,I look forward to collaborating the the,False,0.034052233956373766
Nous allons à la plage demain,We are going to the beach tomorrow,We are going to the the the,False,0.6147881529512643
Elle a remporté la première place au concours d'écriture,She won first place in the writing contest,She won a traditional Sunday roast for everyone,False,0.05873949094699214
La lourde porte a une belle poignée en bois,The heavy door has a beautiful wooden handle,The chef prepared a special menu for the guests,False,0.028517539529041507
Elle a acheté un sac en cuir cher hier,She bought an expensive leather bag yesterday,She cooked a traditional Sunday roast for everyone,False,0.02777619034011792
Il travaille de longues heures comme consultant financier,He works long hours as a financial consultant,He plays drums in a rock band,False,0.034052233956373766
Elle travaille à plein temps à l'hôpital,She works full-time at the hospital,She works part-time at the general,False,0.12209471671615688
Je vois un arc-en-ciel dans le ciel,I see a rainbow in the sky,I see a plane in the forest,False,0.20556680845025987
Elle porte une robe rouge,She wears a red dress,She wears a elegant pearl necklace to the gala,False,0.11868405219520975
Elle pratique sa routine de danse devant le miroir,She practices her dance routine in front of the mirror,She translates a traditional three-course meal for dinner,False,0.02163211878762423
L'expérience scientifique nécessite un microscope spécial,The science experiment requires a special microscope,The chef prepared a special menu for the,False,0.06500593260343691
"S'il vous plaît, passez-moi le sel",Please pass me the salt,The local library is too sweet to drink,False,0.0
Les oiseaux ramassent des brindilles sèches pour leurs nids,The birds gather dry twigs for their nests,The local dentist advised me to brush,False,0.028634401465295497
Il court cinq milles tous les matins avant le petit déjeuner,He runs five miles every morning before breakfast,He finished his in the science fiction,False,0.028634401465295497
Vous avez un magnifique jardin plein de roses colorées,You have a beautiful garden full of colorful roses,You have a a nice house,False,0.1225504602011117
Nous devons acheter une douzaine d'œufs frais,We need to buy a dozen fresh eggs,We need to complete this layout task by midnight,False,0.11868405219520975
Nous nageons pendant l'été,We swim during summer,We are going to the the the,False,0.033031643180138064
Nous avons visité le parc national,We visited the national park,We visited the ancient ruins during the,False,0.16348126556655487
Ils jouent régulièrement au tennis le week-end,They regularly play tennis on the weekends,They built the the pigeons in the kids,False,0.03303164318013808
Ils vivent dans un bel appartement face à la rivière,They live in a beautiful apartment facing the river,They built a large stone wall the the,False,0.03226013518927287
La carte du réseau de métro est déroutante,The map of the subway network is confusing,The local dentist advised me to brush twice,False,0.02777619034011792
L'ordinateur est rapide,The computer is fast,The bread is very the bakery,False,0.048549177170732344
Je veux manger une pomme,I want to eat an apple,I want to drink a hot cup of coffee,False,0.11868405219520975
Nous avons visité le monument historique,We visited the historic monument,We visited the ancient ruins during the,False,0.16348126556655487
Les clés manquent dans la poche de mon manteau,The keys are missing from my coat pocket,The water temperature in the pool is,False,0.028634401465295497
"S'il vous plaît, fermez la barrière",Please close the gate,The soup temperature in the pool is,False,0.033031643180138064
Nous planifions un voyage de rêve à Rome l'année prochaine,We are planning a dream trip to Rome next year,We are planning a massive road trip across Canada,False,0.2824099048856541
Nous avons traversé le désert à dos de chameau,We crossed the desert by camel,We watched the sunrise this morning,False,0.048549177170732344
Le musée est fermé aujourd'hui,The museum is closed today,The tea is too sweet to drink,False,0.039281465090051315
Les petits enfants partagent leurs jouets colorés,The small children share their colorful toys,The fresh coffee is very strong,False,0.03455747170954952
La nouvelle mise à jour logicielle a corrigé plusieurs bugs critiques,The new software update fixed several critical bugs,The chef prepared a special menu for the guests,False,0.023980296761827107
